scenario,hour,smp_pre,mc_mean_smp,mc_p5_smp,mc_p95_smp,mc_delta,mc_mean_curt
S3_Aggressive,12,50862.433389709586,50862.43338970957,50862.433389709586,50862.433389709586,-1.4551915228366852e-11,0.0
S3_Aggressive,13,52175.46794825017,52175.467948250174,52175.46794825017,52175.46794825017,7.275957614183426e-12,0.0
S3_Aggressive,14,52675.96827340172,52675.968273401704,52675.96827340172,52675.96827340172,-1.4551915228366852e-11,0.0
S3_Aggressive,15,54139.07027127108,54139.07027127108,54139.07027127108,54139.07027127108,0.0,0.0
S3_Aggressive,16,55682.80290226137,55682.80290226137,55682.80290226137,55682.80290226137,0.0,0.0
S3_Aggressive,17,57452.533749281094,57452.5337492811,57452.533749281094,57452.533749281094,7.275957614183426e-12,0.0
S3_Aggressive,18,58725.88719175969,58725.887191759684,58725.88719175969,58725.88719175969,-7.275957614183426e-12,0.0
S3_Aggressive,19,59368.83916,59368.83916000001,59368.83916,59368.83916,7.275957614183426e-12,0.0
S3_Aggressive,20,58998.92101491321,58998.92101491321,58998.92101491321,58998.92101491321,0.0,0.0
S3_Aggressive,21,58484.88820553261,58484.88820553262,58484.88820553261,58484.88820553261,7.275957614183426e-12,0.0
S3_Aggressive,22,58280.655278631064,58280.655278631064,58280.655278631064,58280.655278631064,0.0,0.0
S3_Aggressive,23,57670.46754646033,57670.46754646033,57670.46754646033,57670.46754646033,0.0,0.0
