date,hour,mean_smp,p5_smp,p95_smp,smp_pre,mean_curtailment
2024-05-22,16,66527.30646000004,66527.30645999999,66527.30645999999,66527.30645999999,0.0
2024-05-22,17,66765.66495000005,66765.66495,66765.66495,66765.66495,0.0
2024-05-22,18,65855.04683999998,65855.04684,65855.04684,65855.04684,0.0
2024-05-22,19,66612.91226000006,66612.91226000001,66612.91226000001,66612.91226000001,0.0
2024-05-22,20,66765.66495000005,66765.66495,66765.66495,66765.66495,0.0
2024-05-22,21,66293.79272999996,66293.79273,66293.79273,66293.79273,0.0
2024-05-22,22,66765.66495000005,66765.66495,66765.66495,66765.66495,0.0
2024-05-22,23,66765.66495000005,66765.66495,66765.66495,66765.66495,0.0
2024-05-22,24,66612.91226000006,66612.91226000001,66612.91226000001,66612.91226000001,0.0
2024-03-05,1,66612.91226000006,66612.91226000001,66612.91226000001,66612.91226000001,0.0
2024-03-05,2,65855.04683999998,65855.04684,65855.04684,65855.04684,0.0
2024-03-05,3,65348.44475999996,65348.44476,65348.44476,65348.44476,0.0
2024-03-05,4,65364.52329999999,65364.52329999999,65364.52329999999,65364.52329999999,0.0
2024-03-05,5,65508.22979999995,65508.229799999994,65508.229799999994,65508.229799999994,0.0
2024-03-05,6,66293.79272999996,66293.79273,66293.79273,66293.79273,0.0
2024-03-05,7,66612.91226000006,66612.91226000001,66612.91226000001,66612.91226000001,0.0
2024-03-05,8,66765.66495000005,66765.66495,66765.66495,66765.66495,0.0
2024-03-05,9,71059.96292999998,71059.96293,71059.96293,71059.96293,0.0
2024-03-05,10,72248.38718000002,72248.38717999999,72248.38717999999,72248.38717999999,0.0
2024-03-05,11,72256.33690000001,72256.33690000001,72256.33690000001,72256.33690000001,0.0
2024-03-05,12,71272.47220000005,71272.47219999999,71272.47219999999,71272.47219999999,0.0
2024-03-05,13,70197.16453000005,70197.16453,70197.16453,70197.16453,0.0
2024-03-05,14,71272.47220000005,71272.47219999999,71272.47219999999,71272.47219999999,0.0
2024-03-05,15,71167.21381000003,71167.21381,71167.21381,71167.21381,0.0
2024-03-05,16,71167.21381000003,71167.21381,71167.21381,71167.21381,0.0
2024-03-05,17,70972.79503000007,70972.79503000001,70972.79503000001,70972.79503000001,0.0
2024-03-05,18,68986.48777,68986.48777,68986.48777,68986.48777,0.0
2024-03-05,19,68886.30220999995,68886.30221,68886.30221,68886.30221,0.0
2024-03-05,20,68049.38346000004,68049.38346,68049.38346,68049.38346,0.0
2024-03-05,21,66765.66495000005,66765.66495,66765.66495,66765.66495,0.0
2024-03-05,22,66765.66495000005,66765.66495,66765.66495,66765.66495,0.0
2024-03-05,23,66612.91226000006,66612.91226000001,66612.91226000001,66612.91226000001,0.0
2024-03-05,24,66293.79272999996,66293.79273,66293.79273,66293.79273,0.0
2024-06-16,1,65348.44475999996,65348.44476,65348.44476,65348.44476,0.0
2024-06-16,2,64470.993319999965,64470.99332,64470.99332,64470.99332,0.0
2024-06-16,3,64352.79864000006,64352.79864,64352.79864,64352.79864,0.0
2024-06-16,4,63377.053359999925,63377.05336,63377.05336,63377.05336,0.0
2024-06-16,5,63313.33688999998,63313.336890000006,63313.336890000006,63313.336890000006,0.0
2024-06-16,6,63263.01978000007,63263.019779999995,63263.019779999995,63263.019779999995,0.0
2024-06-16,7,63314.75064000007,63314.75064,63314.75064,63314.75064,0.0
2024-06-16,8,62307.997725000045,62307.997724999994,62307.997724999994,62307.997724999994,0.0
2024-06-16,9,59368.839159999996,59368.83916,59368.83916,59368.83916,0.0
2024-06-16,10,57313.08453000004,57313.08453,57313.08453,57313.08453,0.0
2024-06-16,11,56554.911460000025,56554.91146,56554.91146,56554.91146,0.0
2024-06-16,12,54492.93789999995,54492.937900000004,54492.937900000004,54492.937900000004,0.0
2024-06-16,13,55758.07825999997,55758.07826,55758.07826,55758.07826,0.0
2024-06-16,14,58012.64293000002,58012.64293,58012.64293,58012.64293,0.0
2024-06-16,15,59562.984550000045,59562.98455,59562.98455,59562.98455,0.0
2024-06-16,16,62647.855200000035,62647.8552,62647.8552,62647.8552,0.0
2024-06-16,17,64354.13355749995,64354.1335575,64354.1335575,64354.1335575,0.0
2024-06-16,18,65508.22979999995,65508.229799999994,65508.229799999994,65508.229799999994,0.0
2024-06-16,19,66745.09354999995,66745.09354999999,66745.09354999999,66745.09354999999,0.0
2024-06-16,20,66745.09354999995,66745.09354999999,66745.09354999999,66745.09354999999,0.0
2024-06-16,21,66412.90554249994,66412.9055425,66412.9055425,66412.9055425,0.0
2024-06-16,22,66745.09354999995,66745.09354999999,66745.09354999999,66745.09354999999,0.0
2024-06-16,23,66293.79272999996,66293.79273,66293.79273,66293.79273,0.0
2024-06-16,24,65217.33324000001,65217.33323999999,65217.33323999999,65217.33323999999,0.0
2024-06-21,1,66679.63474000005,66679.63474000001,66679.63474000001,66679.63474000001,0.0
2024-06-21,2,66293.79272999996,66293.79273,66293.79273,66293.79273,0.0
2024-06-21,3,65855.04683999998,65855.04684,65855.04684,65855.04684,0.0
2024-06-21,4,65217.33324000001,65217.33323999999,65217.33323999999,65217.33323999999,0.0
2024-06-21,5,65349.06095999997,65349.060959999995,65349.060959999995,65349.060959999995,0.0
2024-06-21,6,65290.74964000002,65290.74964,65290.74964,65290.74964,0.0
2024-06-21,7,65971.60961000004,65971.60961,65971.60961,65971.60961,0.0
2024-06-21,8,66679.63474000005,66679.63474000001,66679.63474000001,66679.63474000001,0.0
2024-06-21,9,66835.54505999997,66835.54506,66835.54506,66835.54506,0.0
2024-06-21,10,66835.54505999997,66835.54506,66835.54506,66835.54506,0.0
2024-06-21,11,65855.04683999998,65855.04684,65855.04684,65855.04684,0.0
2024-06-21,12,65855.04683999998,65855.04684,65855.04684,65855.04684,0.0
2024-06-21,13,66612.91226000006,66612.91226000001,66612.91226000001,66612.91226000001,0.0
2024-06-21,14,65855.04683999998,65855.04684,65855.04684,65855.04684,0.0
2024-06-21,15,66765.66495000005,66765.66495,66765.66495,66765.66495,0.0
2024-06-21,16,70702.46699000003,70702.46699,70702.46699,70702.46699,0.0
2024-06-21,17,68886.30220999995,68886.30221,68886.30221,68886.30221,0.0
2024-06-21,18,70197.16453000005,70197.16453,70197.16453,70197.16453,0.0
2024-06-21,19,70702.46699000003,70702.46699,70702.46699,70702.46699,0.0
2024-06-21,20,70702.46699000003,70702.46699,70702.46699,70702.46699,0.0
2024-06-21,21,68986.48777,68986.48777,68986.48777,68986.48777,0.0
2024-06-21,22,66835.54505999997,66835.54506,66835.54506,66835.54506,0.0
2024-06-21,23,66765.66495000005,66765.66495,66765.66495,66765.66495,0.0
2024-06-21,24,66293.79272999996,66293.79273,66293.79273,66293.79273,0.0
2024-08-20,1,66835.54505999997,66835.54506,66835.54506,66835.54506,0.0
2024-08-20,2,66835.54505999997,66835.54506,66835.54506,66835.54506,0.0
2024-08-20,3,66835.54505999997,66835.54506,66835.54506,66835.54506,0.0
2024-08-20,4,65508.22979999995,65508.229799999994,65508.229799999994,65508.229799999994,0.0
2024-08-20,5,65855.04683999998,65855.04684,65855.04684,65855.04684,0.0
2024-08-20,6,66293.79272999996,66293.79273,66293.79273,66293.79273,0.0
2024-08-20,7,66835.54505999997,66835.54506,66835.54506,66835.54506,0.0
2024-08-20,8,70702.46699000003,70702.46699,70702.46699,70702.46699,0.0
2024-08-20,9,74030.87952,74030.87952,74030.87952,74030.87952,0.0
2024-08-20,10,75031.73160000001,75031.7316,75031.7316,75031.7316,0.0
2024-08-20,11,72972.09455000002,72972.09455000001,72972.09455000001,72972.09455000001,0.0
2024-08-20,12,73876.48300000001,73876.48300000001,73876.48300000001,73876.48300000001,0.0
2024-08-20,13,73356.34798499996,73356.347985,73356.347985,73356.347985,0.0
2024-08-20,14,75660.48887,75660.48887,75660.48887,75660.48887,0.0
2024-08-20,15,77597.60689,77597.60689000001,77597.60689000001,77597.60689000001,0.0
2024-08-20,16,78434.19435,78434.19435,78434.19435,78434.19435,0.0
2024-08-20,17,77114.55587999996,77114.55588,77114.55588,77114.55588,0.0
2024-08-20,18,77470.31002999995,77470.31003000001,77470.31003000001,77470.31003000001,0.0
2024-08-20,19,77597.60689,77597.60689000001,77597.60689000001,77597.60689000001,0.0
2024-08-20,20,77470.31002999995,77470.31003000001,77470.31003000001,77470.31003000001,0.0
2024-08-20,21,75660.48887,75660.48887,75660.48887,75660.48887,0.0
